Company Name,Industry,Country,GenAI Tool,Adoption Year,Number of Employees Impacted,New Roles Created,Training Hours Provided,Productivity Change (%),Employee Sentiment
Davis LLC Pvt. Ltd.,Healthcare,USA,Mixtral,2022,5277,8,657,25.2,"Productivity increased, but there's anxiety about job security. Job rotations have increased."
"Roberts, Holland and Bradshaw Pvt. Ltd.",Telecom,South Africa,Claude,2023,18762,17,23021,27.5,"We now finish tasks faster, but some older employees are struggling. Clients now expect faster results due to AI use."
Roman Inc Pvt. Ltd.,Advertising,India,Gemini,2023,11307,17,4680,11.5,"Productivity increased, but there's anxiety about job security. It changed how we communicate internally."
Nguyen-Strickland Pvt. Ltd.,Technology,UK,Groq,2023,18834,12,1750,7.0,"AI helped me reduce repetitive tasks, but learning curve was steep. It changed how we communicate internally."
Jackson PLC Pvt. Ltd.,Hospitality,UK,LLaMA,2024,8364,22,3925,2.5,"Job roles have shifted a lot, which is both good and scary. Clients now expect faster results due to AI use."
Forbes Ltd Pvt. Ltd.,Entertainment,Switzerland,Gemini,2022,16082,16,11485,19.9,"New roles are exciting; transition was smoother than expected. Overall, it's a big shift."
"Barker, Williams and Lynch Pvt. Ltd.",Telecom,South Africa,Mixtral,2022,994,11,2593,6.6,"Job roles have shifted a lot, which is both good and scary. Overall, it's a big shift."
"Wheeler, Warner and Brown Pvt. Ltd.",Advertising,USA,Groq,2022,16429,16,11692,20.4,Collaboration improved; documentation and meetings are more efficient. My team adapted faster than others.
"Ramirez, Wells and Cochran Pvt. Ltd.",Technology,South Korea,Gemini,2022,12952,7,22484,29.5,There's concern that AI will replace some of us soon. My team adapted faster than others.
Morris Inc Pvt. Ltd.,Legal Services,Switzerland,ChatGPT,2022,4144,24,20689,33.3,I love using AI—it makes my job easier and more fun. It changed how we communicate internally.
Neal and Sons Pvt. Ltd.,Entertainment,Canada,Gemini,2023,10799,21,2672,22.4,"Job roles have shifted a lot, which is both good and scary. Job rotations have increased."
Russell-Brown Pvt. Ltd.,Transportation,UK,Gemini,2022,14721,25,24129,12.4,"Job roles have shifted a lot, which is both good and scary. Internal newsletters now highlight AI use cases."
Moore Inc Pvt. Ltd.,Retail,Canada,Mixtral,2022,10562,29,11833,28.3,"Job roles have shifted a lot, which is both good and scary. Job rotations have increased."
Cantu Inc Pvt. Ltd.,Transportation,USA,Claude,2022,6908,13,18708,33.6,Collaboration improved; documentation and meetings are more efficient. HR hosted webinars weekly.
Fisher PLC Pvt. Ltd.,Healthcare,UK,Gemini,2024,9583,13,10291,2.9,"AI helped me reduce repetitive tasks, but learning curve was steep. Monthly town halls discuss the AI rollout."
"Garcia, Watts and Singh Pvt. Ltd.",Technology,India,ChatGPT,2024,17257,1,4167,6.1,Collaboration improved; documentation and meetings are more efficient. My team adapted faster than others.
Johnson PLC Pvt. Ltd.,Advertising,Brazil,Mixtral,2023,249,22,1574,20.6,"We now finish tasks faster, but some older employees are struggling. Overall, it's a big shift."
Wright Inc Pvt. Ltd.,Legal Services,UAE,Claude,2022,8697,29,21301,9.2,There's concern that AI will replace some of us soon. Clients now expect faster results due to AI use.
"Bradley, Lewis and Smith Pvt. Ltd.",Healthcare,Singapore,Claude,2024,18804,24,16397,10.4,"Productivity increased, but there's anxiety about job security. My team adapted faster than others."
Taylor-Gonzalez Pvt. Ltd.,Utilities,South Korea,LLaMA,2022,14352,27,3750,25.5,There's concern that AI will replace some of us soon. HR hosted webinars weekly.
Hawkins-Larsen Pvt. Ltd.,Healthcare,Germany,Mixtral,2022,18513,6,16373,19.0,I love using AI—it makes my job easier and more fun. My team adapted faster than others.
Stewart-Chang Pvt. Ltd.,Finance,USA,Gemini,2024,5887,16,12534,32.5,"Productivity increased, but there's anxiety about job security. Clients now expect faster results due to AI use."
Rose LLC Pvt. Ltd.,Finance,Australia,Gemini,2022,10914,5,8381,16.5,There's concern that AI will replace some of us soon. Some departments feel left behind.
Bell-Mitchell Pvt. Ltd.,Manufacturing,Australia,LLaMA,2024,17481,14,10061,12.1,"Productivity increased, but there's anxiety about job security. My team adapted faster than others."
Walls-Murray Pvt. Ltd.,Telecom,Singapore,Gemini,2022,5977,6,9895,12.2,"AI helped me reduce repetitive tasks, but learning curve was steep. Job rotations have increased."
James-Herrera Pvt. Ltd.,Telecom,Singapore,ChatGPT,2023,1078,21,20561,2.5,"Our workflows have improved drastically with generative AI. Overall, it's a big shift."
"Mcconnell, Stevens and Hamilton Pvt. Ltd.",Healthcare,Canada,ChatGPT,2023,5033,26,13139,8.7,"Mixed responses—management excited, staff feel uncertain. Internal newsletters now highlight AI use cases."
Avila PLC Pvt. Ltd.,Technology,Switzerland,Groq,2023,11739,16,16383,10.9,"We now finish tasks faster, but some older employees are struggling. It changed how we communicate internally."
Solomon-Spencer Pvt. Ltd.,Retail,Singapore,Gemini,2023,13027,4,2341,32.2,"Job roles have shifted a lot, which is both good and scary. HR hosted webinars weekly."
Jordan Group Pvt. Ltd.,Legal Services,France,ChatGPT,2024,5341,5,2520,34.9,Our workflows have improved drastically with generative AI. Clients now expect faster results due to AI use.
"Clements, Thompson and Richards Pvt. Ltd.",Entertainment,UK,LLaMA,2022,15904,11,4289,13.3,Collaboration improved; documentation and meetings are more efficient. It changed how we communicate internally.
Weaver Ltd Pvt. Ltd.,Advertising,South Africa,LLaMA,2024,13477,18,5831,14.2,"We now finish tasks faster, but some older employees are struggling. It changed how we communicate internally."
Lawson Group Pvt. Ltd.,Legal Services,Switzerland,ChatGPT,2024,4040,20,10012,28.8,"Mixed responses—management excited, staff feel uncertain. Some departments feel left behind."
"Velasquez, Peterson and Castaneda Pvt. Ltd.",Retail,Brazil,LLaMA,2023,18161,26,16885,7.2,There's concern that AI will replace some of us soon. Monthly town halls discuss the AI rollout.
"Wood, Moyer and Trevino Pvt. Ltd.",Legal Services,Japan,Gemini,2023,16018,18,16599,21.0,"AI helped me reduce repetitive tasks, but learning curve was steep. Clients now expect faster results due to AI use."
"Harris, Petty and Hudson Pvt. Ltd.",Legal Services,Japan,Groq,2022,15751,20,3480,27.5,"Our workflows have improved drastically with generative AI. Overall, it's a big shift."
Bell and Sons Pvt. Ltd.,Technology,Canada,LLaMA,2024,15115,5,9696,10.1,Our workflows have improved drastically with generative AI. Job rotations have increased.
"Scott, Stafford and Montes Pvt. Ltd.",Retail,Singapore,Gemini,2023,3487,11,11256,30.9,"AI helped me reduce repetitive tasks, but learning curve was steep. Internal newsletters now highlight AI use cases."
"Chase, Neal and Shea Pvt. Ltd.",Technology,Canada,ChatGPT,2024,9313,6,23983,10.2,Collaboration improved; documentation and meetings are more efficient. It changed how we communicate internally.
"Powell, Hoffman and Bonilla Pvt. Ltd.",Technology,Germany,ChatGPT,2023,3672,23,4770,16.7,"We now finish tasks faster, but some older employees are struggling. Overall, it's a big shift."
